label	qid	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46
0.0	10002	0.008411	0.0	0.0	0.0	0.00747	0.0	0.0	0.0	0.0	0.0	0.479894	0.0	0.0	0.0	0.481716	0.01024	0.125	0.0	0.333333	0.009923	1.0	0.894565	1.0	0.854528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.882937	1.0	0.845827	0.0	0.32	0.0	0.330672	0.666667	0.021127
0.0	10002	0.007477	0.0	1.0	0.0	0.00747	0.0	0.0	0.0	0.0	0.0	0.471076	0.0	1.0	0.0	0.477541	0.00512	0.0	0.571429	0.0	0.004806	0.768561	0.727734	0.716277	0.582061	0.0	0.0	0.0	0.0	0.780495	0.962382	0.999274	0.961524	0.0	0.0	0.0	0.0	0.797056	0.697327	0.721953	0.582568	0.0	0.0	0.0	0.0	0.0	0.007042
0.0	10002	0.214953	0.0	0.0	0.0	0.213819	0.0	0.0	0.0	0.0	0.0	0.40133	0.0	0.0	0.0	0.402388	0.140868	1.0	0.285714	0.333333	0.141484	0.561349	0.771015	0.753872	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.566409	0.760916	0.74637	1.0	0.0	0.0	0.0	1.0	1.0	0.021127
0.0	10002	0.603738	0.0	1.0	0.0	0.603175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12213	0.0	0.0	0.998377	0.375	1.0	0.0	0.998128	0.0	0.0	0.154578	0.555676	0.0	0.0	0.0	0.0	0.071711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.117399	0.560607	0.0	0.28	0.0	0.003708	0.333333	1.0
0.0	10002	0.005607	0.5	1.0	0.0	0.006536	0.0	0.0	0.0	0.0	0.0	0.463908	0.80266	1.0	0.0	0.475031	0.003559	0.25	0.285714	0.5	0.003557	0.845058	1.0	0.725319	0.925405	1.0	0.784655	0.994642	0.369513	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.953956	1.0	0.77977	0.929435	0.25	0.6	0.0	0.922305	0.333333	0.007042
0.0	10002	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.347234	0.583054	0.0	0.0	0.344586	1.0	0.375	0.714286	1.0	1.0	0.337932	0.292332	0.407274	0.725189	0.557245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.341228	0.292567	0.385569	0.730347	1.0	0.84	0.0	0.184564	0.666667	0.0
0.0	10002	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.458053	0.0	0.495975	0.0	0.461687	0.0	0.0	0.571429	0.833333	0.0	0.273864	0.148498	0.0	0.0	0.0	0.0	0.0	0.0	0.387106	0.434598	0.165701	0.421555	0.0	0.0	0.0	0.0	0.320586	0.133604	0.0	0.0	0.25	1.0	0.0	0.0	0.0	0.0
0.0	10002	0.259813	1.0	0.0	0.0	0.260504	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.409179	0.375	0.285714	0.5	0.409099	0.863798	0.398824	0.530183	0.657222	0.955733	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.871348	0.393577	0.509718	0.660071	0.0	1.0	0.0	0.095958	0.333333	0.035211
0.0	10032	0.130742	0.0	0.333333	0.0	0.134276	0.0	0.0	0.0	0.0	0.0	0.157299	0.0	0.408167	0.0	0.164204	0.075949	0.076923	1.0	1.0	0.076754	0.797133	0.141578	0.532453	0.111655	0.0	0.0	0.0	0.0	0.135475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.807969	0.17443	0.451522	0.166599	1.0	0.71875	0.0	0.023578	0.75	1.0
0.0	10032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004177	0.230769	0.185185	0.4	0.004242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.25	0.0	0.013136	0.25	0.461538
